Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
85.18,56.8,0,93.49,90.87,274.83,463.72,31.77,61.57,151.09,1109.58,101.61,-1230.69
86.18,61.14,0,93.52,90.83,274.83,459.53,31.01,61.57,151.09,1108.36,101.7,-1230.69
87.23,18.58,0,94.25,90.91,273.8,454.57,31.01,62.12,61.54,1102.87,96.81,-1230.69
88.26,38.29,0,94.44,91.14,273.79,451.14,31.16,61.85,60.23,1101.04,96.67,-1230.69
89.36,394.38,0,94.48,91.18,273.8,456.09,31.54,61.85,61.75,1102.46,96.63,-1230.69
90.39,413.16,0,94.52,91.18,273.79,452.28,30.24,61.85,61.99,1101.85,96.58,-1230.69
91.39,450.72,0.76,94.52,91.21,273.8,454.19,29.33,61.85,62.07,1102.06,96.72,-1230.69
92.39,600.96,0,94.52,91.21,273.79,452.66,31.01,62.12,61.95,1102.26,96.81,-1230.69
93.49,399.5,0,94.55,91.25,273.8,448.85,30.93,61.85,61.42,1099.21,96.44,-1230.69
94.59,563.4,0,94.55,91.29,273.79,452.66,30.78,62.12,59.57,1102.87,95.93,-1230.69
95.65,638.52,0,94.55,91.29,273.79,452.28,31.08,62.12,59.33,1103.48,95.74,-1230.69
96.68,743.69,0,94.55,91.29,273.79,448.47,31.46,61.85,58.67,1100.43,95.53,-1230.69
97.75,348.28,2.13,94.55,91.37,273.79,452.28,27.96,61.85,56.05,1103.28,96.07,-1230.69
99.5,100,0,90.89,93.24,279.64,19.94,40.61,60.26,0,0,25.11,-1231.45
101.35,147.35,0,90.89,93.27,278.58,139.28,37.95,60.26,0,469.14,38.44,-1231.45
102.51,54.86,0,90.78,93.16,275.49,383.66,37.56,60.81,53.92,1068.03,81.34,-1231.45
103.51,180.29,0,90.78,93.16,275.44,385.18,35.81,60.81,0,1068.02,83.65,-1231.45
104.57,106.42,0,90.67,93.16,275.42,384.8,36.12,60.54,0,1065.78,83.32,-1231.45
105.67,147.35,0,86.81,93.04,275.81,386.33,36.19,60.81,61.38,1062.73,80.92,-1231.07
106.76,492.98,0,86.93,93.08,275.81,384.8,36.8,60.81,61.42,1066.8,82.6,-1231.07
